Score,Scored by,Popularity Rank,Rating Rank,Members,Date
8.55,"389,305",32,842,"653,763",Sat Dec 30 2017 13:55:07 GMT-0500 (Eastern Standard Time)
8.54,"390,598",32,872,"656,161",Thu Jan 04 2018 01:00:54 GMT-0500 (Eastern Standard Time)
8.54,"392,776",32,882,"660,222",Thu Jan 11 2018 01:33:03 GMT-0500 (Eastern Standard Time)
8.54,"394,764",32,902,"663,864",Thu Jan 18 2018 02:15:08 GMT-0500 (Eastern Standard Time)
8.54,"396,607",32,892,"667,388",Thu Jan 25 2018 16:09:50 GMT-0500 (Eastern Standard Time)
8.54,"399,703",32,862,"673,246",Wed Feb 07 2018 19:59:06 GMT-0500 (Eastern Standard Time)
8.54,"407,640",33,852,"688,743",Tue Mar 13 2018 19:22:50 GMT-0400 (Eastern Daylight Time)
8.54,"408,325",33,852,"690,157",Fri Mar 16 2018 21:49:14 GMT-0400 (Eastern Daylight Time)
8.54,"409,976",33,852,"693,329",Fri Mar 23 2018 22:37:53 GMT-0400 (Eastern Daylight Time)
8.54,"411,236",33,852,"695,778",Wed Mar 28 2018 01:38:53 GMT-0400 (Eastern Daylight Time)
8.54,"412,089",33,872,"697,340",Fri Mar 30 2018 22:51:27 GMT-0400 (Eastern Daylight Time)
8.54,"414,586",33,892,"701,881",Fri Apr 06 2018 23:20:28 GMT-0400 (Eastern Daylight Time)
8.54,"416,910",33,902,"706,394",Sat Apr 14 2018 00:15:15 GMT-0400 (Eastern Daylight Time)
8.54,"418,912",33,902,"710,228",Sat Apr 21 2018 00:49:28 GMT-0400 (Eastern Daylight Time)
8.54,"422,353",34,912,"717,082",Fri May 04 2018 23:46:06 GMT-0400 (Eastern Daylight Time)
8.54,"423,779",35,912,"719,962",Fri May 11 2018 05:42:01 GMT-0400 (Eastern Daylight Time)
8.54,"424,123",35,912,"720,612",Sat May 12 2018 19:22:35 GMT-0400 (Eastern Daylight Time)
8.54,"426,658",36,902,"725,678",Thu May 24 2018 17:09:30 GMT-0400 (Eastern Daylight Time)
8.54,"427,665",36,902,"727,672",Sat Jun 02 2018 21:00:55 GMT-0400 (Eastern Daylight Time)
8.54,"427,853",36,902,"728,085",Wed Jun 06 2018 03:12:26 GMT-0400 (Eastern Daylight Time)
8.54,"427,924",36,902,"728,214",Thu Jun 07 2018 18:44:02 GMT-0400 (Eastern Daylight Time)
8.54,"428,199",37,902,"728,860",Thu Jun 14 2018 19:11:19 GMT-0400 (Eastern Daylight Time)
8.54,"428,203",37,902,"728,865",Thu Jun 14 2018 20:20:34 GMT-0400 (Eastern Daylight Time)
8.54,"429,766",37,902,"732,118",Tue Jul 17 2018 20:10:07 GMT-0400 (Eastern Daylight Time)
8.54,"429,991",37,892,"732,539",Sun Jul 22 2018 08:25:05 GMT-0400 (Eastern Daylight Time)
8.54,"430,164",37,902,"732,937",Thu Jul 26 2018 01:16:01 GMT-0400 (Eastern Daylight Time)
8.54,"430,476",37,882,"733,635",Thu Aug 02 2018 01:46:31 GMT-0400 (Eastern Daylight Time)
8.54,"431,104",37,882,"734,882",Fri Aug 03 2018 20:27:05 GMT-0400 (Eastern Daylight Time)
8.54,"432,813",37,872,"738,187",Thu Aug 09 2018 02:20:10 GMT-0400 (Eastern Daylight Time)
8.54,"434,428",37,872,"741,486",Thu Aug 16 2018 03:04:42 GMT-0400 (Eastern Daylight Time)
8.54,"435,977",37,872,"744,645",Thu Aug 23 2018 03:17:03 GMT-0400 (Eastern Daylight Time)
8.54,"436,760",37,872,"746,245",Sun Aug 26 2018 22:46:09 GMT-0400 (Eastern Daylight Time)
8.54,"438,716",37,872,"750,181",Wed Sep 05 2018 23:36:56 GMT-0400 (Eastern Daylight Time)
8.54,"439,888",37,862,"752,512",Thu Sep 13 2018 00:02:10 GMT-0400 (Eastern Daylight Time)
8.53,"441,048",37,902,"754,815",Thu Sep 20 2018 01:26:26 GMT-0400 (Eastern Daylight Time)
8.53,"441,616",37,882,"756,018",Sun Sep 23 2018 16:49:41 GMT-0400 (Eastern Daylight Time)
8.53,"442,273",37,882,"757,305",Thu Sep 27 2018 01:55:45 GMT-0400 (Eastern Daylight Time)
8.53,"443,544",37,912,"759,782",Thu Oct 04 2018 02:12:18 GMT-0400 (Eastern Daylight Time)
8.53,"444,887",37,912,"762,473",Wed Oct 10 2018 16:07:52 GMT-0400 (Eastern Daylight Time)
8.53,"444,985",37,902,"762,616",Wed Oct 10 2018 22:52:18 GMT-0400 (Eastern Daylight Time)
8.53,"445,023",37,902,"762,695",Thu Oct 11 2018 02:35:42 GMT-0400 (Eastern Daylight Time)
8.53,"445,648",37,912,"764,144",Sun Oct 14 2018 17:04:40 GMT-0400 (Eastern Daylight Time)
8.53,"446,411",37,912,"765,530",Thu Oct 18 2018 02:56:38 GMT-0400 (Eastern Daylight Time)
8.53,"447,351",37,912,"767,534",Tue Oct 23 2018 04:10:23 GMT-0400 (Eastern Daylight Time)
8.53,"448,636",37,912,"770,283",Tue Oct 30 2018 22:36:19 GMT-0400 (Eastern Daylight Time)
8.53,"449,372",37,922,"771,793",Sun Nov 04 2018 08:01:52 GMT-0500 (Eastern Standard Time)
8.53,"449,383",37,922,"771,793",Sun Nov 04 2018 08:37:13 GMT-0500 (Eastern Standard Time)
8.53,"449,901",37,922,"772,812",Tue Nov 06 2018 23:24:52 GMT-0500 (Eastern Standard Time)
8.53,"451,256",37,762,"775,364",Tue Nov 13 2018 23:51:27 GMT-0500 (Eastern Standard Time)
8.53,"452,427",37,922,"777,745",Wed Nov 21 2018 00:10:29 GMT-0500 (Eastern Standard Time)
8.53,"452,790",37,922,"778,475",Fri Nov 23 2018 09:52:52 GMT-0500 (Eastern Standard Time)
8.53,"453,577",37,912,"779,998",Wed Nov 28 2018 00:48:17 GMT-0500 (Eastern Standard Time)
8.53,"453,577",37,912,"779,998",Wed Nov 28 2018 01:13:11 GMT-0500 (Eastern Standard Time)
8.53,"454,795",37,902,"782,507",Wed Dec 05 2018 01:22:27 GMT-0500 (Eastern Standard Time)
8.53,"455,923",37,932,"784,821",Wed Dec 12 2018 01:47:19 GMT-0500 (Eastern Standard Time)
8.53,"455,997",37,932,"785,000",Wed Dec 12 2018 14:55:47 GMT-0500 (Eastern Standard Time)
8.53,"456,911",37,922,"786,838",Tue Dec 18 2018 22:05:37 GMT-0500 (Eastern Standard Time)
8.53,"456,963",37,922,"786,898",Wed Dec 19 2018 02:43:25 GMT-0500 (Eastern Standard Time)
8.53,"457,207",36,922,"787,411",Thu Dec 20 2018 14:35:22 GMT-0500 (Eastern Standard Time)
